Unit #,Unit Description,Department,Area,Model No.,Critical Unit,Serial No.,Install Date,Refrigerant,Filter Size,Tons,Asset Type,Location List,Number of Filters,Weight
400,SCRAP TRAILER,MS Outer Bldgs,SCRAP TRAILER,WA302A10,FALSE,225D05202728702,,R22,16X20,2.5,Air to Air,,2,77 OZ
149,Hot Mill Door 4 Break Room,Hot Mill,Hot Mill Door 4 Break Room,FX4DNF031,FALSE,2314A89585,,R410,20X20,2.5,Split,,1,5LBS
733,CM2 Galv Line Office,CM 2,Galv Line Office,THE48B41SA,FALSE,W1K8169357,7/2/2019,R410A,16X20,2.5,Split System,,1,
730,Galv Line Office,CM 2,CM2 Galv Line,THE30B41SA,FALSE,W1K8169361,7/2/2019,R410A,20X20,2.5,Split System,,1,7 LB 15 OZ
471,Port Break Room,Outer Bldgs,Port Break Room,PTEF1501HAA,FALSE,,1/1/2018,R410A,washable,2,PTAC,,0,36 oz
846,CM 2 High Bay Upper Connex Mini Splits,CM 2,Outer Building,,FALSE,,11/30/2022,R410A,,2,Mini Split,,0,
847,CM 2 High Bay Lower Connex Mini Split,CM 2,Outer Building,,FALSE,,11/30/2022,R410A,,2,Mini Split,,0,
035,Melt Shop Office Lab,Melt Shop,Melt Shop Office Lab,38MARBQ18AA301,FALSE,0122V19667,7/25/2022,R-410A,Washable,2,Mini Split,,1,65 oz
358,Crane 700 Cabinet Unit,Overhead Cranes,Melt Shop,CR430816002,FALSE,06014506-2,,R22,16x25,2,Air to Air,,8,19OZ
778,Entry Pulpit 1,CM 2,Galv Line 2,PUZ-A24NHA7,FALSE,0XU19804A,12/28/2020,R410A,WASHABLE,2,Mini Split,,0,
779,Entry Pulpit 2,CM 2,Galv Line 2,PUZ-A24NHA7,FALSE,0XU19808A,12/28/2020,R410A,WASHABLE,2,Mini Split,,0,
855,Cm2 Door 308 Maintenance office,CM 2,Cm2 Door 308 Maintenance office,MUZ-GL18NA,FALSE,1 006717 T,5/25/2023,R-410A,WASHABLE,2,Mini Split,,2,
444,Flux Dump WU,MS Outer Bldgs,Flux Dump WU,REG243H,FALSE,1.2659E+18,,R410A,washable,2,Window Unit,,0,31 OZ
458,East Guard Shack,MS Outer Bldgs,East Guard Shack,PTC153E50AXXXAA,FALSE,1007412181,1/1/2018,R410A,washable,2,PTAC,,0,36 OZ
046,1&2 MCC SERVER CABINET,LMF,1&2 MCC SERVER CABINET,ISCHC15523612XXXXX,TRUE,1028020013,,R422D,16x25,2,Cabinet Cooler,,1,38 OZ
230,SHIPPING BAY PULPIT,Cold Mill,SHIPPING BAY PULPIT,PTC153E50AXXXAA,FALSE,1103099633,,R410A,washable,2,PTAC,,0,36 OZ
456,WAL URSEY EAST PTAC WH UPSTAIRS,MS Outer Bldgs,WAL URSEY EAST PTAC WH UPSTAIRS,PTC153E50AXXXAA,FALSE,110399656,1/1/2018,R410A,washable,2,PTAC,,0,36 OZ
033,Melt Shop Maint Bat Cave,Melt Shop,Maintenance,PTC153E50AXXXA,FALSE,1107709172,,,,2,Ptac Unit,,0,
013,Ice Machine Crane Crew,Cold Mill,Crane Crew,ICE0500FT5,FALSE,12051280013035,,R404,,2,Ice Machine,,0,25 oz
075,Mold Segment North Office (PKG),Caster,Mold Segment North Office (PKG),PRAC1424P-1A,FALSE,1615G16170,,R410A,20x20,2,Package,,1,70 OZ
238,Pickeline Entry Bathroom,Cold Mill,Pickeline Entry Bathroom,52SEC314301AA,FALSE,1697E63612,1/1/2017,R22,washable,2,PTAC,,0,35 OZ
710,Roll Shop Office,CM 2,Roll Shop Office,PTC153G50AXXX,FALSE,1806001620,1/1/2018,R410A,washable,2,PTAC,,0,
